Date,Wagers/sales,Lotto,Bingo,Crossword,Terdrup,Free Roll,Crossword Paradise,Spin the Wheel,Race 6,Pick 3,Pick 4,Spin Roulette
14/03/2026,"1,733,280.00","11,430.00","595,410.00","584,700.00","35,525.00",803,"94,000.00","185,430.00","108,195.00","43,680","15,760","59,150"
15/03/2026,"1,614,315.00","15,510.00","588,780.00","581,160.00","30,350.00",773,"75,950.00","141,120.00","93,925.00","25,770","8,400","53,350"
16/03/2026,"1,842,005.00","62,670.00","619,320.00","618,750.00","36,250.00",952,"106,700.00","185,700.00","96,065.00","32,970","18,880","64,700"
17/03/2026,"1,648,160.00","14,340.00","577,230.00","578,220.00","33,125.00",797,"82,950.00","173,670.00","101,600.00","20,760","12,840","53,425"
18/03/2026,"1,980,380.00","22,440.00","563,430.00","750,000.00","39,000.00",909,"126,750.00","204,300.00","122,885.00","34,560","18,440","98,575"
19/03/2026,"1,949,975.00","59,100.00","600,120.00","652,590.00","48,875.00",937,"104,600.00","220,860.00","122,790.00","34,140","16,000","90,900"
20/03/2026,"1,747,055.00","16,350.00","599,310.00","577,140.00","35,800.00",747,"86,500.00","173,670.00","140,755.00","30,480","21,600","65,450"
21/03/2026,"1,727,240.00","11,700.00","566,490.00","617,280.00","29,175.00",748,"103,000.00","167,820.00","134,400.00","23,520","16,880","56,975"
22/03/2026,"1,561,130.00","12,120.00","513,390.00","543,030.00","23,300.00",700,"96,100.00","157,950.00","133,350.00","22,590","13,400","46,900"
23/03/2026,"1,851,325.00","56,520.00","565,710.00","602,130.00","48,775.00",882,"121,350.00","210,600.00","130,700.00","29,250","12,440","73,850"
24/03/2026,"1,830,255.00","19,020.00","580,260.00","631,920.00","42,350.00",818,"117,250.00","192,030.00","128,710.00","28,500","17,240","72,975"
25/03/2026,"1,947,715.00","20,880.00","591,780.00","647,610.00","39,225.00",932,"98,450.00","259,920.00","148,775.00","29,940","19,760","91,375"
26/03/2026,"1,688,605.00","53,160.00","518,460.00","576,420.00","27,125.00",739,"106,750.00","159,570.00","134,855.00","35,550","10,040","66,675"
27/03/2026,"1,980,030.00","18,570.00","672,360.00","699,090.00","34,925.00",860,"116,000.00","216,480.00","91,625.00","37,950","10,040","78,950"
28/03/2026,"1,936,955.00","9,780.00","613,860.00","715,860.00","34,375.00",806,"124,900.00","203,040.00","107,945.00","39,120","17,600","70,475"
29/03/2026,"1,688,485.00","18,870.00","561,600.00","663,420.00","36,600.00",948,"32,150.00","178,080.00","98,070.00","30,300","11,120","58,275"
30/03/2026,"1,948,395.00","59,850.00","667,410.00","673,410.00","41,550.00","1,037.00","72,700.00","208,140.00","100,830.00","34,170","15,960","74,375"
31/03/2026,"1,938,355.00","23,850.00","644,340.00","723,900.00","41,600.00",877,"100,300.00","196,530.00","97,810.00","27,900","12,400","69,725"
1/4/2026," 2,169,180.00 ","28,980.00","732,660.00","729,330.00","48,900.00","1,062.00","113,400.00","245,400.00","114,605.00","41,910.00","17,120.00","96,875.00"
2/4/2026," 2,208,620.00 ","60,180.00","707,010.00","735,510","62,150.00","1,108.00","113,500.00","261,060.00","97,015.00","37,050","24,320","110,825.00"
3/4/2026," 2,007,980.00 ","14,100.00","643,500.00","695,070","49,025.00",931.00,"113,800.00","228,810.00","105,275.00","38,940","25,160","94,300.00"
4/4/2026," 1,812,560.00 ","13,050.00","631,830.00","611,040","41,475.00",826.00,"89,200.00","195,240.00","98,805.00","36,420","20,800","74,700.00"
5/4/2026," 1,876,265.00 ","14,190.00","646,500.00","652,860","42,200.00",884.00,"89,000.00","189,120.00","118,130.00","41,130","14,160","68,975.00"
6/4/2026," 1,958,910.00 ","54,690.00","647,970.00","676,110","39,725.00","1,002.00","98,200.00","202,140.00","114,910.00","33,540","13,800","77,825.00"
7/4/2026," 1,965,415.00 ","18,330.00","675,240.00","661,080","46,450.00",922.00,"116,750.00","191,220.00","122,060.00","35,820","18,240","80,225.00"
8/4/2026," 1,852,865.00 ","24,450.00","648,900.00","625,680","41,800.00",853.00,"104,050.00","195,210.00","99,705.00","30,180","15,760","66,500.00"
9/4/2026," 2,239,580.00 ","74,790.00","721,410.00","745,080","50,800.00","1,092.00","118,200.00","261,240.00","101,985.00","30,600","18,200","157,275.00"
